player_name,age,team,position,games,games_started,minutes,pts,ast,orb,drb,trb,stl,blk
Wendell Carter Jr.,25,ORL,C,68,51,25.9,9.1,2.0,2.2,5.0,7.2,0.8,0.6
Spencer Dinwiddie,31,DAL,PG,79,30,27.0,11.0,4.4,0.2,2.4,2.6,0.9,0.2
Scoot Henderson,20,POR,PG,66,10,26.7,12.7,5.1,0.8,2.2,3.0,1.0,0.2
Tristan Da Silva,23,ORL,SF,74,38,22.0,7.2,1.5,1.0,2.3,3.3,0.4,0.2
Jalen Wilson,24,BRK,PF,79,22,25.7,9.5,1.8,0.9,2.5,3.4,0.5,0.1
Cole Anthony,24,ORL,PG,67,22,18.4,9.4,2.9,0.7,2.4,3.0,0.7,0.5
Kyle Kuzma,29,2TM,PF,65,62,29.8,14.8,2.3,0.8,4.9,5.7,0.6,0.3
Bub Carrington,19,WAS,PG,82,57,30.0,9.8,4.4,0.4,3.8,4.2,0.7,0.3
Kevin Porter Jr.,24,2TM,SG,75,4,19.8,10.3,3.4,0.6,3.1,3.7,1.1,0.2
Trae Young,26,ATL,PG,76,76,36.0,24.2,11.6,0.5,2.6,3.1,1.2,0.2
Keyonte George,21,UTA,PG,67,35,31.5,16.8,5.6,0.4,3.4,3.8,0.7,0.1
Dennis Schröder,31,3TM,PG,75,49,28.1,13.1,5.4,0.4,2.3,2.6,0.9,0.2
Scottie Barnes,23,TOR,PF,65,65,32.8,19.3,5.8,1.7,6.0,7.7,1.4,1.0
Stephon Castle,20,SAS,SG,81,47,26.7,14.7,4.1,1.1,2.6,3.7,0.9,0.3
Jamal Shead,22,TOR,PG,75,11,19.6,7.1,4.2,0.4,1.1,1.5,0.8,0.1
Kyshawn George,21,WAS,SG,68,38,26.5,8.7,2.5,0.7,3.5,4.2,1.0,0.7
Jonathan Isaac,27,ORL,PF,71,1,15.4,5.4,0.6,1.7,2.7,4.4,0.9,1.1
Anthony Black,21,ORL,PG,78,10,24.2,9.4,3.1,0.7,2.3,2.9,1.1,0.6
Keon Johnson,22,BRK,SG,79,56,24.4,10.6,2.2,0.8,3.0,3.8,1.0,0.4
Kris Murray,24,POR,SF,69,6,15.1,4.2,1.0,1.1,1.5,2.6,0.5,0.2
Dalano Banton,25,POR,PG,67,7,16.7,8.3,2.4,0.4,1.6,2.0,0.6,0.5
Isaiah Collier,20,UTA,PG,71,46,25.9,8.7,6.3,0.5,2.9,3.3,0.9,0.2
Alex Sarr,19,WAS,C,67,67,27.1,13.0,2.4,1.9,4.6,6.5,0.7,1.5
Ricky Council IV,23,PHI,SF,73,12,17.1,7.3,1.3,0.7,2.2,2.9,0.4,0.2
