player_name,age,team,position,games,games_started,minutes,fg_made,fg_atp,fg_pct,three_made,three_atp,three_pct,two_made,two_atp,two_pct,efg_pct,ft_made,ft_atp,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Tristan Da Silva,23,ORL,SF,74,38,22.0,2.7,6.5,412,1.1,3.2,335,1.6,3.3,488,495,0.7,0.9,873,1.0,2.3,3.3,1.5,0.4,0.2,0.8,1.3,7.2
Jalen Wilson,24,BRK,PF,79,22,25.7,3.1,7.8,397,1.5,4.6,337,1.6,3.3,481,495,1.7,2.1,818,0.9,2.5,3.4,1.8,0.5,0.1,1.0,2.1,9.5
Cole Anthony,24,ORL,PG,67,22,18.4,3.4,8.1,424,1.1,3.3,353,2.3,4.9,471,494,1.4,1.7,823,0.7,2.4,3.0,2.9,0.7,0.5,1.5,2.3,9.4
Kyle Kuzma,29,2TM,PF,65,62,29.8,5.7,13.0,436,1.5,4.8,307,4.2,8.2,512,493,2.0,3.1,634,0.8,4.9,5.7,2.3,0.6,0.3,2.2,1.8,14.8
Bub Carrington,19,WAS,PG,82,57,30.0,3.7,9.1,401,1.7,5.0,339,2.0,4.2,475,493,0.8,1.0,812,0.4,3.8,4.2,4.4,0.7,0.3,1.7,2.3,9.8
Kevin Porter Jr.,24,2TM,SG,75,4,19.8,3.9,8.7,449,0.7,2.4,311,3.2,6.3,501,492,1.7,2.3,769,0.6,3.1,3.7,3.4,1.1,0.2,1.8,1.6,10.3
Trae Young,26,ATL,PG,76,76,36.0,7.4,18.1,411,2.9,8.4,340,4.6,9.7,474,491,6.5,7.4,875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2
Keyonte George,21,UTA,PG,67,35,31.5,5.4,13.7,391,2.6,7.6,343,2.8,6.1,449,485,3.5,4.3,818,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.8
Dennis Schröder,31,3TM,PG,75,49,28.1,4.5,11.0,406,1.7,4.9,342,2.8,6.1,458,483,2.4,2.9,838,0.4,2.3,2.6,5.4,0.9,0.2,1.9,2.4,13.1
Scottie Barnes,23,TOR,PF,65,65,32.8,7.3,16.4,446,1.2,4.3,271,6.1,12.0,508,482,3.5,4.6,755,1.7,6.0,7.7,5.8,1.4,1.0,2.8,1.7,19.3
Stephon Castle,20,SAS,SG,81,47,26.7,5.2,12.2,428,1.2,4.1,285,4.0,8.1,501,476,3.1,4.2,724,1.1,2.6,3.7,4.1,0.9,0.3,2.2,2.0,14.7
